system:index,date,temperature_2m,.geo
20250113_21_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_22_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_23_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_24_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_25_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_26_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_27_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_28_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_29_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_30_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_31_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_32_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_33_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_34_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_35_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_36_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_37_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_38_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_39_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_40_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_41_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_42_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_43_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_44_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_45_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_46_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_47_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_48_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_49_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_50_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_51_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_52_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_53_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_54_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_55_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
